ID,City,Price,Day,Room Type,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km)
61,Amsterdam,€ 373.77,Weekday,Private room,2,TRUE,1,0,10,98,1,0.98,1.10
62,Amsterdam,€ 613.27,Weekday,Entire home/apt,4,FALSE,1,0,9,84,1,0.23,0.46
63,Amsterdam,€ 238.32,Weekday,Private room,2,TRUE,0,0,10,98,1,5.84,3.83
64,Amsterdam,€ 430.25,Weekday,Entire home/apt,2,FALSE,0,0,10,97,1,3.03,0.91
65,Amsterdam,€ 348.00,Weekday,Entire home/apt,3,FALSE,0,1,6,77,2,4.42,0.45
66,Amsterdam,€ 330.42,Weekday,Entire home/apt,2,FALSE,0,0,10,98,1,2.56,1.25
67,Amsterdam,"€ 1,179.67",Weekday,Entire home/apt,4,TRUE,1,0,10,99,2,0.63,0.58
68,Amsterdam,€ 259.18,Weekday,Private room,2,TRUE,1,0,10,98,1,5.24,0.67
69,Amsterdam,€ 277.93,Weekday,Private room,2,TRUE,0,0,10,97,1,3.83,2.39
70,Amsterdam,€ 467.04,Weekday,Entire home/apt,3,FALSE,0,0,9,96,2,2.39,1.43
71,Amsterdam,€ 583.74,Weekday,Entire home/apt,2,TRUE,0,0,10,99,1,2.57,1.47
72,Amsterdam,€ 374.94,Weekday,Private room,4,FALSE,0,1,6,88,1,0.94,0.73
73,Amsterdam,€ 372.37,Weekday,Private room,2,FALSE,0,0,10,97,1,3.89,0.66
74,Amsterdam,€ 479.23,Weekday,Shared room,2,TRUE,0,0,10,96,1,1.38,0.08
75,Amsterdam,€ 454.85,Weekday,Entire home/apt,2,TRUE,0,0,10,98,1,2.28,1.83
76,Amsterdam,€ 206.45,Weekday,Private room,2,FALSE,0,0,9,95,1,6.79,2.44
77,Amsterdam,€ 497.74,Weekday,Private room,2,FALSE,1,0,10,95,1,1.10,0.99
78,Amsterdam,€ 399.55,Weekday,Entire home/apt,2,TRUE,0,0,10,97,1,9.34,0.38
79,Amsterdam,€ 761.84,Weekday,Private room,4,FALSE,0,0,9,93,2,1.09,1.22
80,Amsterdam,€ 317.06,Weekday,Private room,2,FALSE,1,0,8,90,1,2.63,1.17
81,Amsterdam,€ 319.41,Weekday,Private room,2,FALSE,0,0,10,96,1,0.35,0.50
82,Amsterdam,€ 209.03,Weekday,Private room,2,TRUE,1,0,10,97,1,4.69,3.63
83,Amsterdam,€ 209.03,Weekday,Private room,2,TRUE,1,0,10,98,1,4.61,3.63
84,Amsterdam,€ 640.45,Weekday,Entire home/apt,2,FALSE,0,0,9,96,1,1.73,0.50
85,Amsterdam,€ 209.03,Weekday,Private room,2,TRUE,1,0,10,98,1,4.69,3.60
86,Amsterdam,€ 934.08,Weekday,Private room,4,TRUE,1,0,10,96,1,1.12,0.38
87,Amsterdam,€ 210.20,Weekday,Private room,2,FALSE,1,0,9,88,1,2.48,1.33
88,Amsterdam,€ 221.22,Weekday,Private room,2,FALSE,0,0,9,94,1,6.06,1.75
89,Amsterdam,€ 441.26,Weekday,Private room,2,FALSE,1,0,10,91,1,0.79,0.73
90,Amsterdam,€ 325.50,Weekday,Private room,2,FALSE,1,0,8,80,1,0.92,0.78
91,Amsterdam,€ 792.77,Weekday,Entire home/apt,4,FALSE,0,0,10,97,2,5.90,1.94
92,Amsterdam,€ 213.95,Weekday,Private room,2,TRUE,0,0,10,93,1,7.02,0.22
93,Amsterdam,"€ 1,557.19",Weekday,Entire home/apt,4,TRUE,0,0,9,98,2,0.75,0.81
94,Amsterdam,€ 317.06,Weekday,Private room,2,TRUE,0,0,10,99,1,3.40,1.51
95,Amsterdam,€ 319.64,Weekday,Entire home/apt,2,TRUE,0,0,10,95,1,3.40,0.71
96,Amsterdam,"€ 1,044.69",Weekday,Entire home/apt,2,FALSE,0,0,10,98,1,3.00,1.63
97,Amsterdam,€ 310.97,Weekday,Entire home/apt,2,FALSE,0,0,9,94,1,3.57,2.62
98,Amsterdam,€ 295.03,Weekday,Entire home/apt,2,FALSE,0,0,9,92,1,4.67,2.98
99,Amsterdam,€ 344.25,Weekday,Entire home/apt,2,FALSE,0,0,7,82,0,4.16,0.10
100,Amsterdam,"€ 3,004.94",Weekday,Entire home/apt,4,FALSE,0,0,9,95,4,1.62,1.40
101,Amsterdam,€ 539.22,Weekday,Entire home/apt,2,FALSE,0,0,10,98,1,3.78,0.92
102,Amsterdam,€ 460.95,Weekday,Private room,2,TRUE,0,0,10,98,1,0.59,0.40
103,Amsterdam,"€ 1,376.51",Weekday,Entire home/apt,4,TRUE,0,1,10,93,2,1.93,1.59
104,Amsterdam,€ 415.49,Weekday,Entire home/apt,4,TRUE,1,0,10,98,1,5.04,1.73
105,Amsterdam,€ 215.12,Weekday,Private room,2,TRUE,0,0,10,95,1,3.60,2.46
106,Amsterdam,€ 393.46,Weekday,Private room,2,TRUE,0,0,10,97,1,1.50,0.23
107,Amsterdam,€ 232.23,Weekday,Private room,2,FALSE,0,0,10,97,0,3.72,1.56
108,Amsterdam,€ 774.26,Weekday,Entire home/apt,2,TRUE,0,0,10,100,1,1.81,0.52
109,Amsterdam,€ 291.05,Weekday,Private room,2,FALSE,0,0,9,90,1,0.65,0.35
110,Amsterdam,€ 604.60,Weekday,Entire home/apt,4,TRUE,1,0,10,95,1,1.88,0.71
111,Amsterdam,€ 467.04,Weekday,Entire home/apt,2,FALSE,0,0,10,97,1,1.41,1.38
112,Amsterdam,€ 744.50,Weekday,Entire home/apt,2,FALSE,0,0,10,92,0,2.68,1.84
113,Amsterdam,€ 250.74,Weekday,Private room,2,TRUE,1,0,10,94,1,2.06,1.56
114,Amsterdam,€ 544.14,Weekday,Private room,4,TRUE,1,0,10,97,2,1.79,1.87
115,Amsterdam,€ 424.16,Weekday,Entire home/apt,2,FALSE,0,0,10,97,1,3.34,0.65
116,Amsterdam,€ 675.60,Weekday,Entire home/apt,2,TRUE,0,0,10,97,1,1.23,0.49
117,Amsterdam,€ 909.47,Weekday,Entire home/apt,4,TRUE,1,0,10,98,2,2.62,0.43
118,Amsterdam,€ 264.10,Weekday,Private room,2,TRUE,0,0,10,98,1,2.85,1.07
119,Amsterdam,€ 196.61,Weekday,Private room,2,TRUE,1,0,10,97,1,10.72,0.45
120,Amsterdam,€ 700.44,Weekday,Entire home/apt,4,TRUE,0,0,9,97,2,4.93,1.01
121,Amsterdam,€ 307.22,Weekday,Private room,2,TRUE,0,0,10,99,1,3.82,2.64
122,Amsterdam,€ 528.20,Weekday,Private room,4,FALSE,1,0,10,93,1,4.30,0.18
123,Amsterdam,€ 675.60,Weekday,Entire home/apt,2,FALSE,0,0,10,94,1,3.37,2.14
124,Amsterdam,€ 675.60,Weekday,Entire home/apt,4,TRUE,0,0,10,98,1,1.96,0.50
125,Amsterdam,€ 515.78,Weekday,Entire home/apt,3,FALSE,0,0,9,97,1,3.14,2.27
126,Amsterdam,€ 442.67,Weekday,Entire home/apt,2,FALSE,0,0,10,100,1,1.68,0.20
127,Amsterdam,€ 596.16,Weekday,Entire home/apt,4,FALSE,0,0,10,98,3,1.93,0.28
128,Amsterdam,€ 920.49,Weekday,Entire home/apt,4,TRUE,0,0,10,99,3,1.25,0.94
129,Amsterdam,€ 718.96,Weekday,Entire home/apt,2,FALSE,0,0,10,100,1,2.87,0.67
130,Amsterdam,€ 276.52,Weekday,Private room,2,TRUE,1,0,10,96,1,7.72,3.25
131,Amsterdam,€ 988.21,Weekday,Entire home/apt,4,FALSE,0,0,9,98,3,2.06,0.13
