ID,City,Price,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
31409,Rome, € 207.61 ,898.13,19.90,1208.03,26.30
31410,Rome, € 262.78 ,671.80,14.89,1494.14,32.53
31411,Rome, € 161.55 ,291.41,6.46,815.94,17.77
31412,Rome, € 80.66 ,285.38,6.32,722.90,15.74
31413,Rome, € 410.31 ,847.10,18.77,1955.29,42.57
31414,Rome, € 468.05 ,847.10,18.77,1955.29,42.57
31415,Rome, € 80.66 ,463.41,10.27,1072.43,23.35
31416,Rome, € 468.05 ,847.09,18.77,1955.30,42.57
31417,Rome, € 244.31 ,491.80,10.90,1338.94,29.15
31418,Rome, € 126.72 ,250.81,5.56,678.74,14.78
31419,Rome, € 144.02 ,244.76,5.42,670.37,14.60
31420,Rome, € 205.04 ,498.71,11.05,1290.21,28.09
31421,Rome, € 80.66 ,497.43,11.02,1113.93,24.25
31422,Rome, € 126.72 ,190.24,4.22,546.25,11.89
31423,Rome, € 76.22 ,467.74,10.37,1075.93,23.43
31424,Rome, € 209.95 ,917.94,20.34,1461.88,31.83
31425,Rome, € 145.19 ,223.50,4.95,587.03,12.78
31426,Rome, € 236.13 ,479.92,10.64,1521.79,33.13
31427,Rome, € 195.92 ,369.72,8.19,928.41,20.21
31428,Rome, € 190.07 ,281.62,6.24,725.32,15.79
31429,Rome, € 196.15 ,907.20,20.10,2037.96,44.37
31430,Rome, € 166.93 ,335.33,7.43,715.55,15.58
31431,Rome, € 518.79 ,824.10,18.26,1874.95,40.82
31432,Rome, € 182.36 ,538.99,11.94,1004.53,21.87
31433,Rome, € 159.21 ,262.16,5.81,624.03,13.59
31434,Rome, € 161.55 ,341.12,7.56,830.03,18.07
31435,Rome, € 131.39 ,445.50,9.87,1002.94,21.84
31436,Rome, € 276.58 ,213.60,4.73,579.40,12.62
31437,Rome, € 112.92 ,168.89,3.74,474.37,10.33
31438,Rome, € 265.12 ,213.49,4.73,577.54,12.57
31439,Rome, € 125.55 ,246.19,5.46,667.85,14.54
31440,Rome, € 216.73 ,612.31,13.57,1438.77,31.33
31441,Rome, € 219.76 ,294.26,6.52,969.91,21.12
31442,Rome, € 242.21 ,539.10,11.95,1359.67,29.60
31443,Rome, € 90.01 ,199.13,4.41,558.14,12.15
31444,Rome, € 90.01 ,200.52,4.44,563.36,12.27
31445,Rome, € 156.87 ,478.09,10.59,1238.98,26.98
31446,Rome, € 156.87 ,478.58,10.61,1264.95,27.54
31447,Rome, € 176.28 ,843.33,18.69,2996.58,65.24
31448,Rome, € 297.38 ,627.74,13.91,2038.42,44.38
31449,Rome, € 195.92 ,743.35,16.47,1659.05,36.12
31450,Rome, € 207.61 ,486.09,10.77,1462.86,31.85
31451,Rome, € 205.04 ,243.27,5.39,694.42,15.12
